Timestamp,NPK Level,Temperature (°C),Humidity (%),Ph Value,Diseased
27-11-2023 12:47,3,29,46,55,1
27-11-2023 12:48,1,41,63,80,1
27-11-2023 12:49,1,22,58,63,0
27-11-2023 12:50,1,44,54,82,1
27-11-2023 12:51,3,27,64,69,1
27-11-2023 12:52,3,24,41,82,0
27-11-2023 12:53,2,34,70,57,0
27-11-2023 12:54,2,21,69,54,0
27-11-2023 12:55,3,34,39,77,1
27-11-2023 12:56,2,21,63,53,1
27-11-2023 12:57,3,37,59,69,0
27-11-2023 12:58,2,45,42,65,1
27-11-2023 12:59,2,38,51,72,0
27-11-2023 13:00,3,39,58,70,0
27-11-2023 13:01,2,21,51,86,0
27-11-2023 13:02,3,44,55,71,0
27-11-2023 13:03,2,19,46,68,0
27-11-2023 13:04,2,36,52,53,1
27-11-2023 13:05,2,20,39,76,1
27-11-2023 13:06,1,44,65,70,0
27-11-2023 13:07,1,41,51,54,0
27-11-2023 13:08,3,48,44,86,1
27-11-2023 13:09,2,36,61,68,1
27-11-2023 13:10,2,33,38,57,0
27-11-2023 13:11,1,21,63,71,0
27-11-2023 13:12,3,49,60,60,1
27-11-2023 13:13,3,35,46,55,0
27-11-2023 13:14,2,19,63,77,0
27-11-2023 13:15,2,35,53,54,1
27-11-2023 13:16,2,32,52,56,1
27-11-2023 13:17,1,38,47,79,0
27-11-2023 13:18,1,43,54,76,0
27-11-2023 13:19,3,35,48,54,0
27-11-2023 13:20,2,36,54,56,1
27-11-2023 13:21,2,28,59,83,1
27-11-2023 13:22,3,19,40,71,0
27-11-2023 13:23,1,48,57,55,1
27-11-2023 13:24,2,42,54,59,0
27-11-2023 13:25,2,36,45,62,1
27-11-2023 13:26,1,19,53,58,1
27-11-2023 13:27,3,47,49,64,1
27-11-2023 13:28,2,33,59,71,1
27-11-2023 13:29,2,43,56,83,1
27-11-2023 13:30,1,46,52,77,1
27-11-2023 13:31,2,36,52,59,1
27-11-2023 13:32,3,39,55,55,1
27-11-2023 13:33,1,27,45,56,1
27-11-2023 13:34,3,22,41,66,1
27-11-2023 13:35,2,20,53,71,0
27-11-2023 13:36,2,37,61,87,1
27-11-2023 13:37,1,34,47,75,0
27-11-2023 13:38,2,29,49,57,1
27-11-2023 13:39,2,39,69,81,0
27-11-2023 13:40,2,44,51,66,0
27-11-2023 13:41,2,43,65,63,1
27-11-2023 13:42,3,36,53,55,0
27-11-2023 13:43,2,21,53,65,1
27-11-2023 13:44,3,20,40,81,0
27-11-2023 13:45,1,47,61,69,0
27-11-2023 13:46,2,41,45,61,1
27-11-2023 13:47,1,40,62,65,0
27-11-2023 13:48,2,38,67,81,1
27-11-2023 13:49,3,19,63,83,1
27-11-2023 13:50,3,27,38,79,1
27-11-2023 13:51,2,25,38,65,0
27-11-2023 13:52,2,30,46,57,0
27-11-2023 13:53,2,31,60,70,0
27-11-2023 13:54,1,49,44,85,0
27-11-2023 13:55,3,34,69,72,0
27-11-2023 13:56,1,31,44,82,1
27-11-2023 13:57,2,30,58,85,1
27-11-2023 13:58,1,23,43,65,1
27-11-2023 13:59,1,40,43,75,1
27-11-2023 14:00,3,47,52,79,0
27-11-2023 14:01,1,49,45,79,1
27-11-2023 14:02,1,39,70,57,0
27-11-2023 14:03,2,32,68,63,1
27-11-2023 14:04,1,38,63,57,1
27-11-2023 14:05,3,32,69,81,0
27-11-2023 14:06,3,34,49,77,1
27-11-2023 14:07,3,49,67,62,1
27-11-2023 14:08,2,21,45,70,0
27-11-2023 14:09,2,33,38,74,1
27-11-2023 14:10,2,32,63,61,0
27-11-2023 14:11,1,38,48,69,0
27-11-2023 14:12,2,42,67,70,1
27-11-2023 14:13,1,46,38,85,1
27-11-2023 14:14,1,20,51,79,1
27-11-2023 14:15,3,23,42,67,0
27-11-2023 14:16,2,34,52,80,1
27-11-2023 14:17,3,35,51,84,1
27-11-2023 14:18,1,20,62,62,0
27-11-2023 14:19,2,43,64,75,1
27-11-2023 14:20,1,48,63,83,0
27-11-2023 14:21,1,22,55,55,1
27-11-2023 14:22,3,46,65,58,1
27-11-2023 14:23,2,25,69,58,1
27-11-2023 14:24,1,45,59,82,0
27-11-2023 14:25,1,28,53,54,1
27-11-2023 14:26,2,25,62,78,0
27-11-2023 14:27,1,35,52,82,1
27-11-2023 14:28,2,30,54,64,1
27-11-2023 14:29,2,40,45,74,0
27-11-2023 14:30,2,23,61,60,1
27-11-2023 14:31,3,22,42,73,1
27-11-2023 14:32,3,41,57,71,0
27-11-2023 14:33,3,24,56,77,1
27-11-2023 14:34,2,46,52,77,0
27-11-2023 14:35,1,29,41,80,0
27-11-2023 14:36,2,45,59,61,0
27-11-2023 14:37,1,20,47,68,1
27-11-2023 14:38,1,31,68,63,1
27-11-2023 14:39,2,25,45,63,0
27-11-2023 14:40,1,29,46,65,1
27-11-2023 14:41,3,21,41,66,1
27-11-2023 14:42,3,47,55,87,0
27-11-2023 14:43,2,27,38,77,0
27-11-2023 14:44,3,37,58,55,0
27-11-2023 14:45,3,20,47,62,1
27-11-2023 14:46,2,25,48,83,1
27-11-2023 14:47,3,22,60,57,0
27-11-2023 14:48,2,21,62,80,1
27-11-2023 14:49,3,48,58,63,1
27-11-2023 14:50,2,40,50,55,0
27-11-2023 14:51,3,35,46,55,0
27-11-2023 14:52,1,47,65,80,1
27-11-2023 14:53,3,28,39,64,0
27-11-2023 14:54,3,42,65,84,0
27-11-2023 14:55,3,40,48,66,1
27-11-2023 14:56,3,49,65,65,0
27-11-2023 14:57,2,42,42,55,0
27-11-2023 14:58,3,45,48,70,1
27-11-2023 14:59,1,43,40,67,0
27-11-2023 15:00,1,46,40,59,0
27-11-2023 15:01,3,48,69,72,1
27-11-2023 15:02,2,47,48,81,0
27-11-2023 15:03,1,40,51,76,1
27-11-2023 15:04,3,40,53,74,1
27-11-2023 15:05,2,39,64,69,1
27-11-2023 15:06,2,24,63,82,0
27-11-2023 15:07,1,25,44,84,0
27-11-2023 15:08,3,38,68,70,1
27-11-2023 15:09,1,21,44,61,0
27-11-2023 15:10,3,28,42,64,0
27-11-2023 15:11,2,28,54,61,0
27-11-2023 15:12,3,20,41,75,0
27-11-2023 15:13,2,29,45,86,1
27-11-2023 15:14,3,43,62,85,0
27-11-2023 15:15,2,19,58,80,0
27-11-2023 15:16,1,47,66,71,1
27-11-2023 15:17,1,24,70,53,0
27-11-2023 15:18,3,19,62,57,0
27-11-2023 15:19,1,26,50,64,1
27-11-2023 15:20,3,41,56,58,1
27-11-2023 15:21,3,31,49,68,0
27-11-2023 15:22,3,20,68,64,0
27-11-2023 15:23,1,38,52,68,0
27-11-2023 15:24,2,27,58,57,0
27-11-2023 15:25,1,46,43,85,1
27-11-2023 15:26,3,28,45,81,0
27-11-2023 15:27,1,42,54,76,0
27-11-2023 15:28,1,43,49,86,1
27-11-2023 15:29,1,26,44,77,0
27-11-2023 15:30,2,39,62,71,1
27-11-2023 15:31,3,40,58,75,1
27-11-2023 15:32,2,27,56,74,0
27-11-2023 15:33,3,44,52,66,0
27-11-2023 15:34,3,29,62,75,0
27-11-2023 15:35,2,19,45,77,0
27-11-2023 15:36,3,42,44,87,1
27-11-2023 15:37,3,43,48,73,0
27-11-2023 15:38,3,39,46,67,1
27-11-2023 15:39,2,30,55,54,1
27-11-2023 15:40,2,27,63,60,1
27-11-2023 15:41,1,40,44,53,0
27-11-2023 15:42,2,47,55,62,0
27-11-2023 15:43,2,26,56,82,1
27-11-2023 15:44,2,33,38,86,1
27-11-2023 15:45,3,32,52,87,1
27-11-2023 15:46,1,22,58,87,0
27-11-2023 15:47,3,35,50,53,1
27-11-2023 15:48,3,39,42,83,1
27-11-2023 15:49,3,27,42,70,0
27-11-2023 15:50,3,49,61,57,0
27-11-2023 15:51,3,48,64,85,1
27-11-2023 15:52,1,29,49,83,1
27-11-2023 15:53,2,27,41,64,0
27-11-2023 15:54,2,45,65,81,1
27-11-2023 15:55,2,24,62,83,0
27-11-2023 15:56,2,23,54,69,0
27-11-2023 15:57,1,34,42,71,0
27-11-2023 15:58,3,47,47,69,1
27-11-2023 15:59,2,20,63,56,0
27-11-2023 16:00,2,42,59,76,0
27-11-2023 16:01,2,27,48,87,0
27-11-2023 16:02,2,23,60,85,1
27-11-2023 16:03,2,22,43,87,1
27-11-2023 16:04,1,41,59,71,0
27-11-2023 16:05,2,24,64,79,0
27-11-2023 16:06,1,31,42,85,0
27-11-2023 16:07,2,31,39,73,1
27-11-2023 16:08,3,35,61,68,1
27-11-2023 16:09,1,38,67,77,0
27-11-2023 16:10,1,20,40,74,1
27-11-2023 16:11,3,49,52,63,1
27-11-2023 16:12,2,21,45,59,0
27-11-2023 16:13,3,41,44,86,0
27-11-2023 16:14,2,29,66,83,1
27-11-2023 16:15,3,36,44,66,0
27-11-2023 16:16,2,42,52,66,1
27-11-2023 16:17,2,48,55,54,0
27-11-2023 16:18,3,33,43,65,1
27-11-2023 16:19,1,24,45,65,1
27-11-2023 16:20,2,20,56,73,0
27-11-2023 16:21,2,29,50,59,1
27-11-2023 16:22,3,40,45,60,1
27-11-2023 16:23,1,32,52,82,0
27-11-2023 16:24,2,24,61,64,0
27-11-2023 16:25,1,20,50,80,1
27-11-2023 16:26,2,23,68,78,0
27-11-2023 16:27,2,26,55,84,1
27-11-2023 16:28,2,30,53,65,0
27-11-2023 16:29,3,26,69,86,1
27-11-2023 16:30,1,40,68,80,0
27-11-2023 16:31,1,45,53,80,1
27-11-2023 16:32,1,21,40,85,0
27-11-2023 16:33,2,48,66,85,0
27-11-2023 16:34,1,48,42,81,1
27-11-2023 16:35,2,24,46,78,1
27-11-2023 16:36,2,19,43,85,1
27-11-2023 16:37,3,25,70,54,0
27-11-2023 16:38,3,44,39,55,1
27-11-2023 16:39,3,25,61,55,1
27-11-2023 16:40,2,26,69,74,0
27-11-2023 16:41,3,43,67,86,1
27-11-2023 16:42,3,44,58,62,1
27-11-2023 16:43,2,45,44,65,1
27-11-2023 16:44,2,28,65,82,1
27-11-2023 16:45,2,41,47,67,1
27-11-2023 16:46,2,36,45,53,0
27-11-2023 16:47,2,41,40,58,0
27-11-2023 16:48,3,42,45,84,1
27-11-2023 16:49,3,19,70,64,1
27-11-2023 16:50,2,28,53,87,1
27-11-2023 16:51,2,45,42,71,0
27-11-2023 16:52,3,45,48,72,1
27-11-2023 16:53,3,36,53,63,1
27-11-2023 16:54,1,29,58,74,0
27-11-2023 16:55,3,25,56,82,0
27-11-2023 16:56,2,32,67,82,1
27-11-2023 16:57,3,34,42,56,1
27-11-2023 16:58,3,30,38,62,1
27-11-2023 16:59,1,49,55,69,1
27-11-2023 17:00,2,38,42,56,1
27-11-2023 17:01,3,34,44,72,0
27-11-2023 17:02,2,24,48,71,1
27-11-2023 17:03,1,25,60,78,0
27-11-2023 17:04,2,42,52,75,0
27-11-2023 17:05,1,20,58,75,1
27-11-2023 17:06,1,44,43,77,1
27-11-2023 17:07,3,35,39,67,1
27-11-2023 17:08,1,30,64,64,0
27-11-2023 17:09,1,39,64,53,1
27-11-2023 17:10,3,39,54,69,0
27-11-2023 17:11,1,29,60,61,1
27-11-2023 17:12,1,30,63,62,1
27-11-2023 17:13,1,44,48,61,0
27-11-2023 17:14,2,36,42,73,1
27-11-2023 17:15,1,24,69,81,0
27-11-2023 17:16,2,44,53,72,1
27-11-2023 17:17,2,21,48,75,1
27-11-2023 17:18,3,32,66,68,0
27-11-2023 17:19,3,24,49,65,0
27-11-2023 17:20,1,32,55,55,1
27-11-2023 17:21,2,43,56,71,1
27-11-2023 17:22,3,26,54,60,1
27-11-2023 17:23,3,25,56,72,0
27-11-2023 17:24,2,31,48,80,1
27-11-2023 17:25,2,43,56,70,0
27-11-2023 17:26,1,19,58,62,1
27-11-2023 17:27,3,46,67,76,0
27-11-2023 17:28,3,38,47,58,0
27-11-2023 17:29,2,45,39,61,0
27-11-2023 17:30,3,43,62,81,1
27-11-2023 17:31,2,44,51,74,1
27-11-2023 17:32,3,38,41,63,0
27-11-2023 17:33,2,34,63,55,1
27-11-2023 17:34,1,36,52,74,0
27-11-2023 17:35,1,26,49,84,0
27-11-2023 17:36,3,44,43,80,1
27-11-2023 17:37,2,23,66,70,0
27-11-2023 17:38,3,32,45,59,1
27-11-2023 17:39,2,32,70,68,1
27-11-2023 17:40,1,48,59,59,0
27-11-2023 17:41,1,29,70,64,0
27-11-2023 17:42,2,46,49,80,0
27-11-2023 17:43,3,32,64,74,0
27-11-2023 17:44,3,41,53,87,0
27-11-2023 17:45,1,24,62,82,0
27-11-2023 17:46,3,34,42,71,1
27-11-2023 17:47,1,26,51,57,0
27-11-2023 17:48,3,34,41,65,1
27-11-2023 17:49,3,24,61,74,1
27-11-2023 17:50,1,47,61,68,1
27-11-2023 17:51,3,41,59,59,1
27-11-2023 17:52,2,29,62,73,0
27-11-2023 17:53,1,30,49,77,0
27-11-2023 17:54,1,36,44,82,0
27-11-2023 17:55,3,23,43,85,0
27-11-2023 17:56,3,39,68,79,0
27-11-2023 17:57,1,21,48,76,0
27-11-2023 17:58,2,36,48,77,0
27-11-2023 17:59,3,25,58,71,1
27-11-2023 18:00,3,38,63,87,1
27-11-2023 18:01,3,43,56,62,1
27-11-2023 18:02,1,23,40,81,0
27-11-2023 18:03,2,25,65,75,1
27-11-2023 18:04,2,39,53,83,0
27-11-2023 18:05,2,30,62,87,0
27-11-2023 18:06,1,46,55,79,0
27-11-2023 18:07,2,39,56,63,1
27-11-2023 18:08,3,38,39,60,0
27-11-2023 18:09,1,29,59,66,1
27-11-2023 18:10,1,40,70,58,1
27-11-2023 18:11,3,29,46,70,1
27-11-2023 18:12,1,27,65,65,0
27-11-2023 18:13,1,43,38,61,1
27-11-2023 18:14,1,41,54,61,0
27-11-2023 18:15,1,48,64,61,0
27-11-2023 18:16,3,35,51,79,1
27-11-2023 18:17,1,24,61,81,0
27-11-2023 18:18,3,30,52,68,0
27-11-2023 18:19,3,32,54,67,0
27-11-2023 18:20,3,35,67,82,0
27-11-2023 18:21,2,20,38,83,1
27-11-2023 18:22,1,34,61,85,0
27-11-2023 18:23,1,49,48,56,1
27-11-2023 18:24,2,40,63,85,1
27-11-2023 18:25,2,20,45,59,1
27-11-2023 18:26,2,45,51,73,0
27-11-2023 18:27,3,24,59,56,1
27-11-2023 18:28,2,41,38,82,1
27-11-2023 18:29,1,37,41,85,1
27-11-2023 18:30,1,37,43,63,1
27-11-2023 18:31,2,21,48,54,0
27-11-2023 18:32,3,47,61,60,0
27-11-2023 18:33,2,26,53,78,0
27-11-2023 18:34,1,35,53,67,1
27-11-2023 18:35,1,47,58,71,0
27-11-2023 18:36,2,41,49,86,1
27-11-2023 18:37,3,44,51,84,1
27-11-2023 18:38,2,22,41,86,0
27-11-2023 18:39,3,48,42,74,0
27-11-2023 18:40,1,26,61,58,0
27-11-2023 18:41,1,29,67,83,0
27-11-2023 18:42,3,40,62,54,0
27-11-2023 18:43,1,28,57,71,1
27-11-2023 18:44,3,45,42,74,1
27-11-2023 18:45,3,43,57,80,0
27-11-2023 18:46,2,23,46,76,1
27-11-2023 18:47,1,41,43,62,0
27-11-2023 18:48,3,20,40,57,0
27-11-2023 18:49,3,48,67,58,1
27-11-2023 18:50,1,27,56,65,1
27-11-2023 18:51,2,32,39,75,0
27-11-2023 18:52,3,47,45,74,1
27-11-2023 18:53,1,44,57,66,0
27-11-2023 18:54,1,49,47,83,1
27-11-2023 18:55,3,45,56,54,0
27-11-2023 18:56,2,37,57,64,1
27-11-2023 18:57,2,46,62,83,0
27-11-2023 18:58,2,28,39,64,1
27-11-2023 18:59,3,28,63,53,1
27-11-2023 19:00,2,47,57,81,1
27-11-2023 19:01,1,22,38,78,1
27-11-2023 19:02,3,21,44,53,1
27-11-2023 19:03,3,42,46,85,0
27-11-2023 19:04,2,49,69,79,0
27-11-2023 19:05,2,36,67,82,1
27-11-2023 19:06,2,34,44,69,1
27-11-2023 19:07,2,22,62,67,1
27-11-2023 19:08,1,27,68,60,0
27-11-2023 19:09,1,47,51,56,1
27-11-2023 19:10,2,21,69,62,0
27-11-2023 19:11,1,22,68,86,1
27-11-2023 19:12,2,48,50,68,1
27-11-2023 19:13,2,47,69,59,0
27-11-2023 19:14,2,35,61,58,1
27-11-2023 19:15,2,21,55,58,0
27-11-2023 19:16,1,24,56,58,1
27-11-2023 19:17,3,42,59,71,1
27-11-2023 19:18,1,49,47,54,0
27-11-2023 19:19,2,40,70,66,0
27-11-2023 19:20,3,40,68,80,1
27-11-2023 19:21,3,28,48,82,0
27-11-2023 19:22,1,25,61,67,0
27-11-2023 19:23,3,28,40,56,0
27-11-2023 19:24,1,42,69,61,1
27-11-2023 19:25,1,30,67,78,1
27-11-2023 19:26,3,26,39,83,0
27-11-2023 19:27,2,22,41,65,0
27-11-2023 19:28,1,38,59,81,1
27-11-2023 19:29,2,36,55,62,0
27-11-2023 19:30,2,24,43,64,1
27-11-2023 19:31,2,26,56,87,0
27-11-2023 19:32,1,26,51,69,0
27-11-2023 19:33,2,35,66,70,1
27-11-2023 19:34,1,49,53,59,0
27-11-2023 19:35,2,32,57,83,0
27-11-2023 19:36,1,45,48,58,0
27-11-2023 19:37,3,47,60,60,1
27-11-2023 19:38,1,48,42,62,0
27-11-2023 19:39,2,20,48,71,1
27-11-2023 19:40,3,23,64,78,0
27-11-2023 19:41,2,26,38,76,1
27-11-2023 19:42,2,26,46,67,1
27-11-2023 19:43,3,25,56,69,0
27-11-2023 19:44,1,32,66,66,1
27-11-2023 19:45,3,27,66,66,0
27-11-2023 19:46,1,39,53,59,1
27-11-2023 19:47,2,48,41,56,1
27-11-2023 19:48,3,26,69,57,0
27-11-2023 19:49,3,19,43,72,1
27-11-2023 19:50,3,28,46,60,0
27-11-2023 19:51,3,27,52,74,0
27-11-2023 19:52,3,29,64,79,1
27-11-2023 19:53,2,31,68,87,0
27-11-2023 19:54,2,30,47,79,1
27-11-2023 19:55,3,48,67,77,1
27-11-2023 19:56,2,39,70,76,0
27-11-2023 19:57,2,34,49,83,1
27-11-2023 19:58,3,32,48,85,0
27-11-2023 19:59,1,35,45,79,0
27-11-2023 20:00,1,45,47,78,1
27-11-2023 20:01,3,49,65,78,1
27-11-2023 20:02,3,34,49,79,1
27-11-2023 20:03,1,36,57,80,0
27-11-2023 20:04,1,49,39,82,1
27-11-2023 20:05,2,45,55,84,0
27-11-2023 20:06,2,33,54,75,1
27-11-2023 20:07,3,37,66,73,1
27-11-2023 20:08,1,21,46,77,0
27-11-2023 20:09,2,48,50,87,0
27-11-2023 20:10,1,27,70,78,0
27-11-2023 20:11,3,31,43,72,1
27-11-2023 20:12,3,30,59,73,0
27-11-2023 20:13,3,45,50,58,0
27-11-2023 20:14,3,48,63,71,0
27-11-2023 20:15,3,36,55,64,0
27-11-2023 20:16,2,35,61,67,1
27-11-2023 20:17,2,22,64,86,0
27-11-2023 20:18,2,39,62,73,1
27-11-2023 20:19,2,23,57,67,0
27-11-2023 20:20,3,48,62,57,1
27-11-2023 20:21,3,41,42,85,1
27-11-2023 20:22,2,44,51,64,0
27-11-2023 20:23,1,35,52,75,1
27-11-2023 20:24,2,30,66,76,0
27-11-2023 20:25,1,39,52,67,0
27-11-2023 20:26,3,29,62,72,0
27-11-2023 20:27,1,36,57,66,0
27-11-2023 20:28,3,27,66,76,0
27-11-2023 20:29,3,42,42,54,0
27-11-2023 20:30,3,20,45,62,0
27-11-2023 20:31,3,34,46,84,1
27-11-2023 20:32,1,19,38,53,1
27-11-2023 20:33,3,25,54,59,1
27-11-2023 20:34,3,34,43,83,1
27-11-2023 20:35,1,31,47,84,1
27-11-2023 20:36,3,49,64,68,1
27-11-2023 20:37,1,20,57,86,0
27-11-2023 20:38,2,48,58,71,1
27-11-2023 20:39,1,20,38,58,1
27-11-2023 20:40,2,32,39,76,1
27-11-2023 20:41,1,42,51,56,0
27-11-2023 20:42,1,35,49,78,0
27-11-2023 20:43,2,41,66,75,1
27-11-2023 20:44,2,48,48,65,1
27-11-2023 20:45,2,32,52,68,1
27-11-2023 20:46,2,31,42,84,1
27-11-2023 20:47,1,39,43,70,1
27-11-2023 20:48,2,48,44,74,0
27-11-2023 20:49,1,20,69,69,0
27-11-2023 20:50,1,34,48,81,1
27-11-2023 20:51,3,36,47,70,0
27-11-2023 20:52,1,26,57,61,1
27-11-2023 20:53,2,22,45,62,0
27-11-2023 20:54,1,22,58,64,0
27-11-2023 20:55,3,41,48,80,1
27-11-2023 20:56,1,23,56,85,0
27-11-2023 20:57,2,32,53,67,1
27-11-2023 20:58,1,30,50,74,1
27-11-2023 20:59,2,23,53,80,1
27-11-2023 21:00,2,33,64,78,1
27-11-2023 21:01,1,33,70,84,1
27-11-2023 21:02,2,20,58,76,1
